"Provider Profiles","Contacts 1","Contacts 2","Contacts 3","Contacts 4","Contacts 5","Contacts 6","Contacts 7","Contacts 8","Contacts 9","Contacts 10","Contacts 11","Contacts 12","Contacts 13","Contacts 14","Contacts 15","Contacts 16","Contacts 17","Contacts 18","Contacts 19","Contacts 20","Contacts 21","Contacts 22","Contacts 23","Contacts 24",,"Decisions 1","Decisions 2","Decisions 3","Decisions 4","Decisions 5","Decisions 6","Decisions 7","Decisions 8","Decisions 9","Decisions 10","Decisions 11","Decisions 12","Decisions 13","Decisions 14","Decisions 15","Decisions 16","Decisions 17","Decisions 18","Decisions 19","Decisions 20","Decisions 21","Decisions 22","Decisions 23","Decisions 24","Average of Arrival to Provider Hrs","Average of Provider to Decision Hrs","Average of Decision to Depart Hrs","Admit %","Discharge %"
"D - APP - H",2.344,2.188,2.194,2.094,2.242,1.909,1.515,1.032,0.077,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.813,1.969,1.645,2.406,2.152,1.818,2.03,1.903,1,0.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.783,1.967,0.617,,
"D - APP - I",2.409,2.063,2,1.939,1.761,2.024,1.564,1,0.478,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.682,1.938,1.771,1.837,2.109,1.667,2.077,2.026,1.304,0.9,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.817,1.817,0.617,,
"D - APP - J",2.548,2.362,1.804,1.667,1.777,1.564,0.785,0.337,0.852,0.789,0.333,1,0,0,0,0,0,0,0,0,0,0,0,0,,0.849,1.702,1.649,1.667,1.787,1.649,1.72,1.579,1.333,1.158,2.333,1,0,0,0,0,0,0,0,0,0,0,0,0,0.45,2.667,0.917,,
"D - APP - K",1.828,1.517,1.299,1.119,1.14,1.303,0.748,0.416,0.143,0.258,0.167,1.5,3,1,0,0,0,0,0,0,0,0,0,0,,0.483,0.933,1.282,1.398,1.298,1.185,1.104,1.389,0.89,0.613,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0.45,1.933,0.517,,
"D - APP - L",2.171,2.243,1.691,1.657,1.836,2.206,1.014,0.746,0.296,0.167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.029,1.571,2,1.806,1.836,1.735,1.771,1.806,1.185,0.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.567,1.733,0.65,,
"D - APP - M",2.286,1.707,1.672,1.667,2.037,1.588,1.132,0.851,0.667,0.286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.196,1.776,1.5,1.944,1.556,2.02,1.604,1.596,0.833,1.143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.567,1.467,0.667,,
"D - APP - N",2.021,1.98,1.613,1.401,1.676,1.575,0.887,0.479,0.169,0.769,0.667,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.472,1.221,1.587,1.737,1.419,1.445,1.631,1.443,1.09,1.538,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.483,2.333,0.833,,
"D - APP - O",1.947,1.988,1.699,1.614,1.5,1.684,0.975,0.766,0.176,0.412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.64,1.22,1.506,1.651,1.65,1.468,1.962,1.636,0.961,0.941,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,2.033,0.7,,
"D - APP - P",2.159,1.775,1.466,1.479,1.471,1.686,1.214,0.729,0.205,0.478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.638,1.493,1.562,1.606,1.443,1.514,1.6,1.4,1.179,1.174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.583,1.883,0.583,,
"D - APP - Q",2.193,1.659,1.784,1.625,1.584,1.659,0.857,0.488,0.29,0.455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.67,1.253,1.648,1.693,1.449,1.795,1.44,1.547,1.161,1.182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.483,2.017,0.667,,
